# Assembler.dll Function Rename Mapping
# Format: old_name|new_name
# Total functions: 291

# CSubfileAssemblerIND class (20 methods)
FUN_1003f2ff|CSubfileAssemblerIND_CompareJulianDateValues
FUN_1003f498|CSubfileAssemblerIND_ConvertToBigEndian
FUN_1003f59c|CSubfileAssemblerIND_ConvertToJulian
FUN_1003f7a5|CSubfileAssemblerIND_CreateBlocks
FUN_1003fe0d|CSubfileAssemblerIND_CreateIndexTable
FUN_100400f6|CSubfileAssemblerIND_CreateInstanceOfCalBinImageComponent
FUN_10040312|CSubfileAssemblerIND_FillHolesInBlock
FUN_10040469|CSubfileAssemblerIND_ProcessHeaders
FUN_1004084f|CSubfileAssemblerIND_SetDataPlate
FUN_10040a61|CSubfileAssemblerIND_SetHexBinaryValueInDataPlate
FUN_10040d64|CSubfileAssemblerIND_SetStringValueInDataPlate
FUN_10041154|CSubfileAssemblerIND_ValidateCompatibilityDates
FUN_1004165a|CSubfileAssemblerIND_ValidateHeaderFile
FUN_100417f2|CSubfileAssemblerIND_ValidateHeaderRecords
FUN_1004193e|CSubfileAssemblerIND_ValidateInput
FUN_10041a85|CSubfileAssemblerIND_ValidateSubfiles
FUN_10041c1f|CSubfileAssemblerIND_VerifyBlock
FUN_10041d66|CSubfileAssemblerIND_VerifyBlocks
FUN_10041ecd|CSubfileAssemblerIND_WriteAssemblyOutput
FUN_1004237c|CSubfileAssemblerIND_WriteHeaderRecords

# CTable class (4 methods)
FUN_100448a1|CTable_setActualDataSize
FUN_10044da3|CTable_setTableInfo
FUN_10044ede|CTable_verify
FUN_10045098|CTable_verifyOverlap

# CTableBuilder class (1 methods)
FUN_1004537b|CTableBuilder_processDirectLoadRecordForECI

