address,ref_count,range,tier,batch_id
0x003fa696,5,003fxxxx,in_window,1
0x003fa6a6,5,003fxxxx,in_window,1
0x003fb0ee,5,003fxxxx,in_window,2
0x003fb0f0,5,003fxxxx,in_window,2
0x003fb341,5,003fxxxx,in_window,3
0x003fb40c,5,003fxxxx,in_window,4
0x003fb4e8,5,003fxxxx,in_window,6
0x003fb9ca,5,003fxxxx,in_window,10
0x003fbc9a,5,003fxxxx,in_window,12
0x003fbd18,5,003fxxxx,in_window,15
0x003fdfbe,5,003fxxxx,clean,18
0x003fbd5a,5,003fxxxx,in_window,20
0x003fbd5e,5,003fxxxx,in_window,21
0x003fbd62,5,003fxxxx,in_window,22
0x003fbd70,5,003fxxxx,in_window,24
0x003feb54,5,003fxxxx,clean,24
0x003feb6e,5,003fxxxx,clean,24
0x003fbdcc,5,003fxxxx,in_window,25
0x003fbdcd,5,003fxxxx,in_window,25
0x003fbdf5,5,003fxxxx,in_window,25
0x003fbdf7,5,003fxxxx,in_window,26
0x003fbdfb,5,003fxxxx,in_window,26
0x003fcbe6,5,003fxxxx,in_window,27
0x003fcbee,5,003fxxxx,in_window,28
0x003fcbf0,5,003fxxxx,in_window,28
0x003fcbf2,5,003fxxxx,in_window,29
0x003fcd08,5,003fxxxx,in_window,32
0x003fcd0c,5,003fxxxx,in_window,32
0x003fcd60,5,003fxxxx,in_window,33
0x003fcd68,5,003fxxxx,in_window,33
0x003fcd6c,5,003fxxxx,in_window,33
0x003fcd6e,5,003fxxxx,in_window,33
0x003fcdd8,5,003fxxxx,in_window,40
0x003fcdc8,5,003fxxxx,in_window,41
0x003fcdca,5,003fxxxx,in_window,41
0x003fce10,5,003fxxxx,in_window,44
0x003fce1a,5,003fxxxx,in_window,44
0x003fcdf8,5,003fxxxx,in_window,45
0x003fcdf9,5,003fxxxx,in_window,45
0x003fce07,5,003fxxxx,in_window,45
0x003fce08,5,003fxxxx,in_window,45
0x003fce09,5,003fxxxx,in_window,45
0x003fce0c,5,003fxxxx,in_window,46
0x003fce22,5,003fxxxx,in_window,47
0x003fce43,5,003fxxxx,in_window,49
0x003fce49,5,003fxxxx,in_window,49
0x003fce4b,5,003fxxxx,in_window,49
0x003fce51,5,003fxxxx,in_window,49
0x003fce5f,5,003fxxxx,in_window,49
0x003fce39,5,003fxxxx,in_window,50
0x003fce3f,5,003fxxxx,in_window,50
0x003fd947,5,003fxxxx,in_window,52
0x003fcea6,5,003fxxxx,in_window,53
0x003fceb2,5,003fxxxx,in_window,54
0x003fcebc,5,003fxxxx,in_window,54
0x003fceea,5,003fxxxx,in_window,56
0x003fcef8,5,003fxxxx,in_window,57
0x003fcf0c,5,003fxxxx,in_window,59
0x003fcf74,5,003fxxxx,in_window,61
0x003fcf7a,5,003fxxxx,in_window,61
0x003fcf9c,5,003fxxxx,in_window,63
0x003fcfa0,5,003fxxxx,in_window,63
0x003fee6c,5,003fxxxx,clean,65
0x003fee70,5,003fxxxx,clean,65
0x003fee74,5,003fxxxx,clean,65
0x003fcfc8,5,003fxxxx,in_window,66
0x003fcfee,5,003fxxxx,in_window,68
0x003fd002,5,003fxxxx,in_window,70
0x003fd04a,5,003fxxxx,in_window,70
0x003fd088,5,003fxxxx,in_window,72
0x003fd0c4,5,003fxxxx,in_window,76
0x003fd182,5,003fxxxx,in_window,81
0x003fd18f,5,003fxxxx,in_window,81
0x003fd192,5,003fxxxx,in_window,82
0x003fd198,5,003fxxxx,in_window,82
0x003fd1a4,5,003fxxxx,in_window,83
0x003fd1cc,5,003fxxxx,in_window,85
0x003fd1cd,5,003fxxxx,in_window,85
0x003fd1d0,5,003fxxxx,in_window,85
0x003fd1e6,5,003fxxxx,in_window,88
0x003fd20f,5,003fxxxx,in_window,90
0x003fd217,5,003fxxxx,in_window,90
0x003fd22d,5,003fxxxx,in_window,91
0x003fd234,5,003fxxxx,in_window,92
0x003fd24c,5,003fxxxx,in_window,92
0x003fd24e,5,003fxxxx,in_window,92
0x003fd257,5,003fxxxx,in_window,92
0x003fd258,5,003fxxxx,in_window,92
0x003fd25a,5,003fxxxx,in_window,93
0x003fd264,5,003fxxxx,in_window,94
0x003fd27e,5,003fxxxx,in_window,98
0x003feed0,5,003fxxxx,clean,99
0x003fd47a,5,003fxxxx,in_window,100
0x003fda48,5,003fxxxx,in_window,102
0x003fdfde,5,003fxxxx,clean,104
0x003feb8a,5,003fxxxx,clean,107
