SystemType,EFCode,Language,HelpFile
1666,13,"FR","FIS4961028.chm"
1666,13,"JA","FIS4960390.chm"
1666,13,"PT","FIS3653274.chm"
1666,13,"RU","FIS4960311.chm"
1666,13,"ZH","FIS4960448.chm"
1670,6,"DE","FIS4915984.chm"
1670,6,"EN","FIS4021416.chm"
1670,6,"ES","FIS4018058.chm"
1670,6,"FR","FIS3667172.chm"
1670,6,"IT","FIS4915985.chm"
1670,6,"JA","FIS4960378.chm"
1670,6,"KO","FIS4960467.chm"
1670,6,"PT","FIS3653269.chm"
1670,6,"RU","FIS4960574.chm"
1670,6,"TR","FIS4915923.chm"
1670,6,"ZH","FIS3667186.chm"
1675,8,"EN","FIS4021570.chm"
1675,8,"ES","FIS4018262.chm"
1675,8,"RU","FIS4960573.chm"
1675,8,"ZH","FIS4960367.chm"
1685,8,"EN","FIS4021570.chm"
1685,8,"ES","FIS4018262.chm"
1685,8,"RU","FIS4960573.chm"
1685,8,"ZH","FIS4960367.chm"
1700,88,"EN","FIS4021381.chm"
1700,88,"ES","FIS4017992.chm"
1700,88,"FR","FIS3667171.chm"
1700,88,"PT","FIS3653285.chm"
1725,88,"EN","FIS4021381.chm"
1725,88,"ES","FIS4017992.chm"
1725,88,"FR","FIS3667171.chm"
1725,88,"PT","FIS3653285.chm"
1735,16,"EN","FIS4021560.chm"
1735,16,"ES","FIS4018261.chm"
1735,16,"FR","FIS4960393.chm"
1735,16,"KO","FIS4960527.chm"
1775,8,"EN","FIS4021570.chm"
1775,8,"ES","FIS4018262.chm"
1775,8,"FR","FIS4960394.chm"
1775,8,"RU","FIS4960573.chm"
1775,8,"ZH","FIS4960367.chm"
1800,12,"EN","FIS4021477.chm"
1800,12,"ES","FIS4018099.chm"
1800,12,"PT","FIS3653285.chm"
1840,85,"EN","FIS4021317.chm"
1840,85,"FR","FIS3667168.chm"
1840,85,"TR","FIS4960831.chm"
1840,85,"ZH","FIS3667146.chm"
1850,72,"EN","FIS3666259.chm"
1850,72,"ES","FIS3150987.chm"
1850,72,"JA","FIS4960387.chm"
1850,72,"KO","FIS4960464.chm"
1850,72,"RU","FIS4960595.chm"
1850,72,"ZH","FIS3666540.chm"
1900,70,"EN","FIS4021334.chm"
1900,70,"ES","FIS4017991.chm"
1900,70,"FR","FIS3667169.chm"
1925,70,"EN","FIS4021334.chm"
1925,70,"ES","FIS4017991.chm"
1925,70,"FR","FIS3667169.chm"
1935,16,"EN","FIS4021560.chm"
1935,16,"ES","FIS4018261.chm"
1935,16,"FR","FIS4960393.chm"
1935,16,"KO","FIS4960527.chm"
5000,7,"EN","FIS4021442.chm"
5050,79,"EN","FIS3666130.chm"
5050,79,"FR","FIS3666931.chm"
5100,99,"EN","FIS3666231.chm"
5150,98,"EN","FIS3666070.chm"
5150,98,"ZH","FIS4960473.chm"
5200,605,"EN","PIM605Faults.chm"
5250,612,"EN","PIM612Faults.chm"
5300,80,"EN","FIS3666194.chm"
5300,80,"ES","FIS3150884.chm"
5300,80,"KO","FIS4960463.chm"
5300,80,"ZH","FIS4960485.chm"
5310,6,"DE","FIS4915984.chm"
5310,6,"EN","FIS4021416.chm"
5310,6,"ES","FIS4018058.chm"
5310,6,"FR","FIS3667172.chm"
5310,6,"IT","FIS4915985.chm"
5310,6,"JA","FIS4960378.chm"
5310,6,"KO","FIS4960467.chm"
5310,6,"PT","FIS3653269.chm"
5310,6,"RU","FIS4960574.chm"
5310,6,"TR","FIS4915923.chm"
5310,6,"ZH","FIS3667186.chm"
5350,71,"EN","FIS3666271.chm"
5350,71,"ES","FIS4017798.chm"
5350,71,"KO","FIS4960466.chm"
5350,71,"TR","FIS4915922.chm"
5350,71,"ZH","FIS3667034.chm"
